Course Type,Course Title,Course Subtitle,Course Location,Subject,Beginning,Tuition fees per semester,Language,Duration,Course Link
Master's degree •,Materials Science and Engineering (MSc),Karlsruhe Institute of Technology •,Karlsruhe,Engineering in general,"Winter semester, Summer semester",,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6908/
Master's degree •,Materials Science and Simulation,Ruhr-Universität Bochum •,Bochum,Mechanical Engineering / Process Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4234/
Master's degree •,Mechanical and Process Engineering,TU Bergakademie Freiberg •,Freiberg,Mechanical Engineering / Process Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7028/
Master's degree •,"Mechanical Engineering, MSc",Technische Hochschule Lübeck •,Lübeck,Mechanical Engineering / Process Engineering,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4352/
Master's degree •,"Mechanical Engineering, MSc",Rhine-Waal University of Applied Sciences •,Kleve,Mechanical Engineering / Process Engineering,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4492/
Master's degree •,Mechanical Engineering/Mechatronics (MSc),Kaiserslautern University of Applied Sciences •,Kaiserslautern,Mechanical Engineering / Process Engineering,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4202/
Master's degree •,Mechanical Engineering: Sustainable Energy Systems und Circular Process Engineering (MSc),Ruhr-Universität Bochum •,Bochum,Mechanical Engineering / Process Engineering,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9113/
Master's degree •,Mechatronics,University of Applied Sciences Ravensburg-Weingarten •,Weingarten,Engineering in general,Winter semester,"EUR 1,500",English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3633/
Master's degree •,Mechatronics,University of Siegen •,Siegen,Electrical Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3782/
Master's degree •,Mechatronics and Robotics (MEng),Schmalkalden University of Applied Sciences •,Schmalkalden,Engineering in general,Winter semester,none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6347/
Master's degree •,Medical Engineering – Branches of Study: Medical Image and Data Processing | Health and Medical Data Analytics & Entrepreneurship | Medical Robotics,FAU Erlangen-Nürnberg •,Erlangen,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4407/
Master's degree •,Medical Microtechnology (MSc),Technische Hochschule Lübeck •,Lübeck,Engineering in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7173/
Master's degree •,Medical Systems Engineering (MSE),Otto von Guericke University Magdeburg •,Magdeburg,Electrical Engineering,Summer semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6905/
Master's degree •,MEng Artificial Intelligence for Smart Sensors and Actuators,Deggendorf Institute of Technology •,Cham,Engineering in general,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7691/
Master's degree •,MEng Business Engineering,Technical University of Applied Sciences Würzburg-Schweinfurt (THWS) •,Schweinfurt,Engineering in general,Winter semester,none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8604/
Master's degree •,MEng Master of Healthy and Sustainable Buildings,Deggendorf Institute of Technology •,Pfarrkirchen,Engineering in general,Summer semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5623/
Master's degree •,MEng Mechatronic and Cyber-Physical Systems,Deggendorf Institute of Technology •,Cham,Mechanical Engineering / Process Engineering,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5378/
Master's degree •,Metallic Materials Technology,TU Bergakademie Freiberg •,Freiberg,"Mining, Metallurgy","Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5232/
Master's degree •,Micro and Nano Systems,Chemnitz University of Technology •,Chemnitz,Electrical Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4103/
Master's degree •,Micro- and Nanoelectronics – Master's Study Programme,RWTH Aachen University •,Aachen,Engineering in general,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4811/
Master's degree •,Microelectronics and Microsystems,Hamburg University of Technology •,Hamburg,Electrical Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3751/
Master's degree •,Mining Engineering (MSc),Clausthal University of Technology •,Clausthal-Zellerfeld,"Mining, Metallurgy","Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4505/
Master's degree •,"Mobility Systems Engineering & Management (MSc, Executive) at HECTOR School",Karlsruhe Institute of Technology •,Karlsruhe,Mechanical Engineering / Process Engineering,Winter semester,"EUR 7,500",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4554/
Master's degree •,Molecular Bioengineering,Dresden University of Technology •,Dresden,Biology,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3613/
Master's degree •,MSc Advanced (Systems) Engineering & Engineering Management,South Westphalia University of Applied Sciences •,Soest,Electrical Engineering,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4062/
Master's degree •,MSc Advanced Materials and Processes (MAP),FAU Erlangen-Nürnberg •,Erlangen,Engineering in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3762/
Master's degree •,MSc Advanced Optical Technologies (MAOT),FAU Erlangen-Nürnberg •,Erlangen,Engineering in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4046/
Master's degree •,MSc Applied Geosciences – Energy & Mineral Resources (EMR),RWTH Aachen University •,Aachen,Earth Sciences (excluding Geography),"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4570/
Master's degree •,"MSc Applied Geosciences: Sustainable Energy, Resources & Storage (ERS)",Karlsruhe Institute of Technology •,Karlsruhe,Earth Sciences (excluding Geography),"Winter semester, Summer semester","EUR 1,500",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7847/
Master's degree •,MSc Artificial Intelligence,Technical University of Applied Sciences Würzburg-Schweinfurt (THWS) •,Würzburg,Computer Science,Summer semester,none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7852/
Master's degree •,MSc Autonomy Technologies,FAU Erlangen-Nürnberg •,Erlangen,Engineering in general,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8925/
Master's degree •,MSc Electrical Engineering and Information Technology,Deggendorf Institute of Technology •,Deggendorf,Electrical Engineering,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3833/
Master's degree •,MSc Electromobility – ACES,FAU Erlangen-Nürnberg •,Erlangen,Engineering in general,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8296/
Master's degree •,MSc Human Technology in Sports and Medicine,German Sport University Cologne •,Köln,Sport,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5487/
Master's degree •,MSc Industrial Engineering,FOM International University •,Essen,Engineering in general,"Winter semester, Summer semester","EUR 5,833",English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9005/
Master's degree •,"MSc Management and Engineering in Technology, Innovation, Marketing and Entrepreneurship (MME TIME)",RWTH Aachen University •,Aachen,Business and Economics,Winter semester,"EUR 10,000",English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4757/
Master's degree •,"MSc Management and Engineering in Technology, Innovation, Marketing and Entrepreneurship (MME TIME) – part-time",RWTH Aachen University •,Aachen,Business and Economics,Winter semester,,English,6 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4875/
Master's degree •,MSc Materials Science and Engineering,FAU Erlangen-Nürnberg •,Erlangen,Engineering in general,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8297/
Master's degree •,MSc Mineral Resources Engineering – Specialisation: Repository Safety,RWTH Aachen University •,Aachen,Engineering in general,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8462/
Master's degree •,MSc Nanotechnology,FAU Erlangen-Nürnberg •,Erlangen,Engineering in general,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8298/
Master's degree •,MSc Pharmaceutical Biotechnology,Hamburg University of Applied Sciences •,Hamburg,Engineering in general,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4027/
Master's degree •,MSc Photovoltaics Engineering Science,Anhalt University of Applied Sciences •,Köthen / Anhalt,Electrical Engineering,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6900/
Master's degree •,"MSc Remote Sensing, geoInformation, and Visualisation (RSIV)",University of Potsdam •,Potsdam,Earth Sciences (excluding Geography),Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4855/
Master's degree •,MSc Renewable Energy and Energy Efficiency for the Middle East and North Africa (MENA) Region (REMENA),University of Kassel •,Kassel,Electrical Engineering,"Winter semester, Summer semester","EUR 2,500",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4412/
Master's degree •,MSc Renewable Energy Systems,Hamburg University of Applied Sciences •,Hamburg,Engineering in general,Winter semester,none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4059/
Master's degree •,Nanoelectronic Systems,Dresden University of Technology •,Dresden,Electrical Engineering,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4257/
Master's degree •,Nanoscience and Nanotechnology,University of Siegen •,Siegen,"Mathematics, Natural Sciences in general",Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4872/
Master's degree •,Natural Hazards and Risks in Structural Engineering (NHRE),Bauhaus-Universität Weimar •,Weimar,Civil Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3612/
Master's degree •,Natural Resources Management and Development (Master of Science),Technische Hochschule Köln (University of Applied Sciences) •,Köln,"Land Management, Environmental Architecture",Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4189/
Master's degree •,Neural Engineering (MSc),htw saar - University of Applied Sciences •,Saarbrücken,Engineering in general,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6567/
Master's degree •,Non-Destructive Testing (MSc),Dresden International University •,Dresden,Engineering in general,Winter semester,"EUR 5,370",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4743/
Master's degree •,Online MSc Wind Energy Systems,University of Kassel •,Kassel,Engineering in general,Winter semester,"EUR 2,000",English,7 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4654/
Master's degree •,Operational Excellence (MBA and Eng),Hof University of Applied Sciences •,Hof,Engineering in general,"Winter semester, Summer semester","EUR 3,300",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4664/
Master's degree •,Optical Technologies - Photonics and Laser Technology,Leibniz University Hannover •,Hannover,"Physics, Astronomy","Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4651/
Master's degree •,Organic and Molecular Electronics (OME),Dresden University of Technology •,Dresden,"Physics, Astronomy",Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4388/
Master's degree •,Photogrammetry and Geoinformatics,Hochschule für Technik Stuttgart - University of Applied Sciences •,Stuttgart,Surveying,Winter semester,varied,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6963/
Master's degree •,Physics of Life,Dresden University of Technology •,Dresden,"Physics, Astronomy",Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3829/
Master's degree •,Power Engineering,Brandenburg University of Technology Cottbus-Senftenberg •,Cottbus,Engineering in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3883/
Master's degree •,Process Engineering and Energy Technology,Bremerhaven University of Applied Sciences •,Bremerhaven,Mechanical Engineering / Process Engineering,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4068/
Master's degree •,Process Safety and Environmental Engineering (PSEE),Otto von Guericke University Magdeburg •,Magdeburg,Mechanical Engineering / Process Engineering,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4707/
Master's degree •,"Process, Energy, and Environmental Systems Engineering (PEESE)",Technische Universität Berlin •,Berlin,Mechanical Engineering / Process Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9245/
Master's degree •,"Production & Operations Management (MSc, Executive) at HECTOR School",Karlsruhe Institute of Technology •,Karlsruhe,Mechanical Engineering / Process Engineering,Winter semester,"EUR 7,500",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4555/
Master's degree •,Quantum Engineering (Master of Science),Leibniz University Hannover •,Hannover,"Physics, Astronomy","Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8284/
Master's degree •,Quantum Science,University of Siegen •,Siegen,"Mathematics, Natural Sciences in general","Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8336/
Master's degree •,Quantum Technologies,RPTU University of Kaiserslautern-Landau •,Kaiserslautern,"Physics, Astronomy",Winter semester,"EUR 1,990",English,6 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9213/
Master's degree •,Quantum Technologies in Electrical and Computer Engineering (QTEC),Technische Universität Braunschweig •,Braunschweig,Electrical Engineering,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8958/
Master's degree •,Railway Systems Engineering,RWTH Aachen University •,Aachen,"Transport Engineering, Nautical Science","Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4881/
Master's degree •,Redesigning the Post-Industrial City (RePIC),Ruhr-Universität Bochum •,Bochum,Town and Country Planning,Winter semester,varied,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8960/
Master's degree •,Refinement of Polymer and Composite Products,Kaiserslautern University of Applied Sciences •,Pirmasens,Mechanical Engineering / Process Engineering,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4398/
Master's degree •,Remote Sensing and Geoinformatics,Karlsruhe Institute of Technology •,Karlsruhe,Earth Sciences (excluding Geography),"Winter semester, Summer semester","EUR 1,500",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6163/
Master's degree •,Renewable Energy and E-Mobility (REEM),Stralsund University of Applied Sciences •,Stralsund,Electrical Engineering,"Winter semester, Summer semester",none,English,"3 semesters, 4 semesters",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6455/
Master's degree •,Renewable Energy Management (Master of Science),Technische Hochschule Köln (University of Applied Sciences) •,Köln,Engineering in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4520/
Master's degree •,Renewable Energy Master of Engineering (MEng),Frankfurt University of Applied Sciences •,Frankfurt am Main,Electrical Engineering,"Winter semester, Summer semester",none,English,"3 semesters, 4 semesters",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8344/
Master's degree •,Renewable Energy Systems,Nordhausen University of Applied Sciences •,Nordhausen,Engineering in general,"Winter semester, Summer semester",none,English,"3 semesters, 4 semesters",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9011/
Master's degree •,Renewable Energy Systems (RES),Technische Hochschule Ingolstadt •,Ingolstadt,Mechanical Engineering / Process Engineering,Winter semester,EUR 500,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4685/
Master's degree •,Research in Media Engineering MSc Programme,Technische Universität Ilmenau •,Ilmenau,Electrical Engineering,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4147/
Master's degree •,Resilient Civil Engineering (RCE),RWTH Aachen University •,Aachen,Civil Engineering,Winter semester,"EUR 6,000",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8967/
Master's degree •,Resource Efficiency in Architecture and Planning (REAP),HafenCity University Hamburg •,Hamburg,Engineering in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4061/
Master's degree •,Road Traffic Engineering,Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau •,Zwickau,"Transport Engineering, Nautical Science",Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4793/
Master's degree •,Robotic Systems Engineering (RoboSys),RWTH Aachen University •,Aachen,Engineering in general,Winter semester,"EUR 6,000",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4819/
Master's degree •,Scientific Computing (Elite Network of Bavaria),University of Bayreuth •,Bayreuth,Mathematics,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5244/
Master's degree •,Sensor Systems Technology (SSTM),Karlsruhe University of Applied Sciences •,Karlsruhe,Electrical Engineering,Summer semester,varied,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3758/
Master's degree •,Simulation and System Design (SSD),Stralsund University of Applied Sciences •,Stralsund,Mechanical Engineering / Process Engineering,"Winter semester, Summer semester",none,English,"3 semesters, 4 semesters",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6445/
Master's degree •,Smart Energy Systems,Ansbach University of Applied Sciences •,Feuchtwangen,Engineering in general,Winter semester,none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7252/
Master's degree •,Smart Production Engineering (SPE),RWTH Aachen University •,Aachen,Mechanical Engineering / Process Engineering,Winter semester,"EUR 6,000",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3813/
Master's degree •,Software Engineering for Industrial Applications (MEng),Hof University of Applied Sciences •,Hof,Computer Science,"Winter semester, Summer semester","EUR 3,300",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3667/
Master's degree •,Solar Energy Engineering Master of Science,University of Freiburg •,Freiburg im Breisgau,Engineering in general,"Winter semester, Summer semester","EUR 3,650",English,"5 semesters, 7 semesters",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5307/
Master's degree •,Space Engineering I (SpE-I),University of Bremen •,Bremen,Engineering in general,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6275/
Master's degree •,Space Engineering II (SpE-II),University of Bremen •,Bremen,Engineering in general,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6284/
Master's degree •,"Space Sciences and Technologies – Sensing, Processing, Communication (Space-ST)",University of Bremen •,Bremen,"Physics, Astronomy",Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4771/
Master's degree •,Spatial Planning for Regions in Growing Economies (SPRING),TU Dortmund University •,Dortmund,Town and Country Planning,Winter semester,varied,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3718/
Master's degree •,Subsurface Engineering (SubSurf),Ruhr-Universität Bochum •,Bochum,Civil Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8397/
Master's degree •,Sustainable Building Systems,Ansbach University of Applied Sciences •,Feuchtwangen,Engineering in general,Winter semester,none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9021/
Master's degree •,Sustainable Energy Systems,TU Dortmund University •,Dortmund,Electrical Engineering,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8963/
Master's degree •,Sustainable Management – Water and Energy,RWTH Aachen University •,Aachen,Civil Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5229/
Master's degree •,Sustainable Mobility Management (MBA),Technische Universität Berlin •,Berlin,Business and Economics,Winter semester,"EUR 6,600",English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5352/
Master's degree •,Sustainable Renewable Energy Technologies (SuRE),Carl von Ossietzky University of Oldenburg •,Oldenburg,"Mathematics, Natural Sciences in general",Winter semester,"EUR 1,500",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3773/
Master's degree •,Sustainable Resource Management,Technical University of Munich •,Freising,"Agriculture, Forestry and Nutritional Sciences in general",Winter semester,varied,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3769/
Master's degree •,Sustainable Textiles (MEng),Hof University of Applied Sciences •,Hof,Chemistry,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6237/
Master's degree •,Sustainable Water Management and Engineering,Hof University of Applied Sciences •,Hof,Engineering in general,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7220/
Master's degree •,Systems and Automation – Master's Study Programme,RWTH Aachen University •,Aachen,Engineering in general,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5227/
Master's degree •,Technical Management,University of Applied Sciences Emden/Leer •,Emden,Industrial Engineering,"Winter semester, Summer semester","EUR 5,980",English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3725/
Master's degree •,Technical Management (MEng),Technical University of Applied Sciences Wildau •,Wildau,Engineering in general,Summer semester,none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6232/
Master's degree •,Technology and Application of Inorganic Engineering Materials (TAIEM),TU Bergakademie Freiberg •,Freiberg,Engineering in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5231/
Master's degree •,Technology and Innovation Management,Harz University of Applied Sciences •,Wernigerode,Engineering in general,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5591/
Master's degree •,Transfers-Fluids-Materials in Aeronautical and Space Applications (TFM-ASA),Brandenburg University of Technology Cottbus-Senftenberg •,Cottbus,Engineering in general,Winter semester,varied,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6175/
Master's degree •,Transformation Studies,Brandenburg University of Technology Cottbus-Senftenberg •,Cottbus,"Law, Economics and Social Sciences in general",Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9256/
Master's degree •,Transportation Systems,Technical University of Munich •,München,Civil Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9041/
Master's degree •,Urban Agglomerations (MSc),Frankfurt University of Applied Sciences •,Frankfurt am Main,Town and Country Planning,Winter semester,"EUR 3,000",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3804/
Master's degree •,Urban Design and Sustainable Revitalisation,Brandenburg University of Technology Cottbus-Senftenberg •,Cottbus,Town and Country Planning,Winter semester,,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4396/
Master's degree •,Urban Design Master's Programme,Technische Universität Berlin •,Berlin,Design,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4532/
Master's degree •,Urban Transformation,TU Dortmund University •,Dortmund,Town and Country Planning,"Winter semester, Summer semester",none,English,2 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5459/
Master's degree •,Water and Coastal Management (WCM),Carl von Ossietzky University of Oldenburg •,Oldenburg,Town and Country Planning,Winter semester,varied,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8338/
Master's degree •,Water Engineering,Magdeburg-Stendal University of Applied Sciences •,Magdeburg,Engineering in general,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6349/
Master's degree •,"Water Engineering (WEM, MSc)",Technische Hochschule Lübeck •,Lübeck,Civil Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4393/
Master's degree •,Water Resources Engineering and Management (WAREM),University of Stuttgart •,Stuttgart,Engineering in general,Winter semester,varied,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3678/
Master's degree •,Water Science and Engineering,Karlsruhe Institute of Technology •,Karlsruhe,Civil Engineering,"Winter semester, Summer semester","EUR 1,500",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4853/
Master's degree •,Water Technology (MEng),SRH Universities •,Heidelberg,Engineering in general,"Winter semester, Summer semester","EUR 6,450",English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5614/
Master's degree •,World Heritage Studies (WHS On-Campus),Brandenburg University of Technology Cottbus-Senftenberg •,Cottbus,Languages and Cultural Studies in general,Winter semester,none,Languages and Cultural Studies in general,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3716/
Master's degree •,World Heritage Studies Online (WHS Online),Brandenburg University of Technology Cottbus-Senftenberg •,Cottbus,Languages and Cultural Studies in general,Winter semester,none,Languages and Cultural Studies in general,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7669/
