Course Type,Course Title,Course Subtitle,Course Location,Subject,Beginning,Tuition fees per semester,Language,Duration,Course Link
Master's degree •,Management and Engineering in Production Systems (MME-PS),RWTH Aachen University •,Aachen,Mechanical Engineering / Process Engineering,Winter semester,"EUR 6,000",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4362/
Master's degree •,"Management of Product Development (MSc, Executive) at HECTOR School",Karlsruhe Institute of Technology •,Karlsruhe,Mechanical Engineering / Process Engineering,Winter semester,"EUR 7,500",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4550/
Master's degree •,Maritime Operations,University of Applied Sciences Emden/Leer •,Leer (Ostfriesland),"Transport Engineering, Nautical Science",Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4807/
Master's degree •,Master Environmental Engineering (MEng),Hochschule für Technik und Wirtschaft Dresden – University of Applied Sciences •,Dresden,Civil Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4761/
Master's degree •,Master in Integrated Design (MID),OWL University of Applied Sciences and Arts •,Detmold,Architecture,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5347/
Master's degree •,Master Materials Science and Engineering (MSc),FH Münster University of Applied Sciences •,Steinfurt,Engineering in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4873/
Master's degree •,Master of Arts in Integrated Design,Anhalt University of Applied Sciences •,Dessau-Roßlau,Design,"Winter semester, Summer semester",EUR 800,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4057/
Master's degree •,Master of Aviation Management (AVIMA),Technical University of Applied Sciences Wildau •,Wildau,Business and Economics,Winter semester,"EUR 2,750",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3821/
Master's degree •,Master of Biomedical Engineering (BME),Furtwangen University •,Villingen-Schwenningen,Engineering in general,Winter semester,"EUR 1,500",English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3840/
Master's degree •,Master of Business Administration (MBA) Renewables,Berliner Hochschule für Technik •,Berlin,Business and Economics,"Winter semester, Summer semester","EUR 3,960",English,5 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4296/
Master's degree •,Master of Business Administration and Engineering (MBA&E),HTW Berlin University of Applied Sciences •,Berlin,Industrial Engineering,Winter semester,"EUR 4,167",English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3800/
Master's degree •,Master of Engineering in Aeronautical Management,Bremen University of Applied Sciences •,Bremen,Business and Economics,Winter semester,,English,2 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7700/
Master's degree •,Master of Engineering in Paper Technology,Hochschule München University of Applied Sciences •,München,Engineering in general,Winter semester,varied,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3627/
Master's degree •,Master of Landscape Architecture (MLA),Anhalt University of Applied Sciences •,Bernburg / Saale,"Land Management, Environmental Architecture",Winter semester,EUR 850,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4199/
Master's degree •,Master of Science in Advanced Materials and Manufacturing (Research Master's),Aalen University •,Aalen,Mechanical Engineering / Process Engineering,"Winter semester, Summer semester",varied,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8980/
Master's degree •,Master of Science in Aerospace Engineering,Technical University of Munich •,Singapore,Mechanical Engineering / Process Engineering,Winter semester,,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3965/
Master's degree •,Master of Science in Aerospace Engineering,Technical University of Darmstadt •,Darmstadt,"Transport Engineering, Nautical Science","Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7775/
Master's degree •,Master of Science in Aerospace Engineering (MSc),FH Aachen University of Applied Sciences •,Aachen,Mechanical Engineering / Process Engineering,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3854/
Master's degree •,Master of Science in Applied Photonics,Aalen University •,Aalen,Engineering in general,"Winter semester, Summer semester",varied,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9130/
Master's degree •,Master of Science in Applied Statistics,Trier University •,Trier,"Law, Economics and Social Sciences in general","Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4679/
Master's degree •,Master of Science in Automotive Engineering,RWTH Aachen University •,Aachen,Mechanical Engineering / Process Engineering,Winter semester,none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4599/
Master's degree •,Master of Science in Biotechnology (MBT),Offenburg University of Applied Sciences •,Offenburg,Engineering in general,Winter semester,varied,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5240/
Master's degree •,Master of Science in Cartography,Technical University of Munich •,München,Surveying,Winter semester,,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4200/
Master's degree •,Master of Science in Chemical Engineering,Ulm University •,Ulm,Mechanical Engineering / Process Engineering,"Winter semester, Summer semester",varied,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4692/
Master's degree •,Master of Science in Communication and Information Technology,Ulm University •,Ulm,Electrical Engineering,Summer semester,varied,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3793/
Master's degree •,Master of Science in Communication and Media Engineering (CME),Offenburg University of Applied Sciences •,Offenburg,Engineering in general,Winter semester,varied,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3771/
Master's degree •,Master of Science in Communications and Electronics Engineering (MSCE),Technical University of Munich •,München,Electrical Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3768/
Master's degree •,Master of Science in Computer Engineering,Paderborn University •,Paderborn,Electrical Engineering,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5625/
Master's degree •,Master of Science in Data Engineering,Constructor University •,Bremen,Computer Science,Winter semester,"EUR 10,000",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4653/
Master's degree •,Master of Science in Data Science,Trier University •,Trier,"Mathematics, Natural Sciences in general","Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5351/
Master's degree •,Master of Science in Earth-Oriented Space Science and Technology (ESPACE),Technical University of Munich •,München,Engineering in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3777/
